Data loading...
resnet50-64 Model building...
Start inference...

 inference:     1 | throughput: 2718.058 | time:   0.024
 inference:     2 | throughput: 2922.764 | time:   0.022
 inference:     3 | throughput: 1851.011 | time:   0.035
 inference:     4 | throughput: 1734.012 | time:   0.037
 inference:     5 | throughput: 2032.139 | time:   0.031
 inference:     6 | throughput: 1853.631 | time:   0.035
 inference:     7 | throughput: 1874.026 | time:   0.034
 inference:     8 | throughput: 1853.260 | time:   0.035
 inference:     9 | throughput: 1885.027 | time:   0.034
 inference:    10 | throughput: 1846.085 | time:   0.035
 inference:    11 | throughput: 1880.801 | time:   0.034
 inference:    12 | throughput: 1871.426 | time:   0.034
 inference:    13 | throughput: 1874.575 | time:   0.034
 inference:    14 | throughput: 1877.263 | time:   0.034
 inference:    15 | throughput: 1868.508 | time:   0.034
 inference:    16 | throughput: 1880.142 | time:   0.034
 inference:    17 | throughput: 1869.080 | time:   0.034
 inference:    18 | throughput: 1876.987 | time:   0.034
 inference:    19 | throughput: 1879.221 | time:   0.034
 inference:    20 | throughput: 1870.461 | time:   0.034
 inference:    21 | throughput: 1887.878 | time:   0.034
 inference:    22 | throughput: 1841.311 | time:   0.035
 inference:    23 | throughput: 1888.582 | time:   0.034
 inference:    24 | throughput: 1861.175 | time:   0.034
 inference:    25 | throughput: 1882.054 | time:   0.034
 inference:    26 | throughput: 1867.988 | time:   0.034
 inference:    27 | throughput: 1855.887 | time:   0.034
 inference:    28 | throughput: 1870.018 | time:   0.034
 inference:    29 | throughput: 1883.255 | time:   0.034
 inference:    30 | throughput: 1859.345 | time:   0.034
 inference:    31 | throughput: 1872.170 | time:   0.034
 inference:    32 | throughput: 1862.376 | time:   0.034
 inference:    33 | throughput: 1865.768 | time:   0.034
 inference:    34 | throughput: 1883.850 | time:   0.034
 inference:    35 | throughput: 1876.449 | time:   0.034
 inference:    36 | throughput: 1879.050 | time:   0.034
 inference:    37 | throughput: 1870.370 | time:   0.034
 inference:    38 | throughput: 1867.975 | time:   0.034
 inference:    39 | throughput: 1888.688 | time:   0.034
 inference:    40 | throughput: 1874.013 | time:   0.034
 inference:    41 | throughput: 1872.496 | time:   0.034
 inference:    42 | throughput: 1875.532 | time:   0.034
 inference:    43 | throughput: 1895.664 | time:   0.034
 inference:    44 | throughput: 1869.679 | time:   0.034
 inference:    45 | throughput: 1870.031 | time:   0.034
 inference:    46 | throughput: 1857.338 | time:   0.034
 inference:    47 | throughput: 1885.809 | time:   0.034
 inference:    48 | throughput: 1865.405 | time:   0.034
 inference:    49 | throughput: 1849.073 | time:   0.035
 inference:    50 | throughput: 1843.903 | time:   0.035
 inference:    51 | throughput: 1864.679 | time:   0.034
 inference:    52 | throughput: 1872.170 | time:   0.034
 inference:    53 | throughput: 1870.982 | time:   0.034
 inference:    54 | throughput: 1866.066 | time:   0.034
 inference:    55 | throughput: 1874.942 | time:   0.034
 inference:    56 | throughput: 1820.815 | time:   0.035
 inference:    57 | throughput: 1903.649 | time:   0.034
 inference:    58 | throughput: 1858.032 | time:   0.034
 inference:    59 | throughput: 1872.261 | time:   0.034
 inference:    60 | throughput: 1872.052 | time:   0.034
 inference:    61 | throughput: 1871.217 | time:   0.034
 inference:    62 | throughput: 1874.680 | time:   0.034
 inference:    63 | throughput: 1871.178 | time:   0.034
 inference:    64 | throughput: 1881.025 | time:   0.034
 inference:    65 | throughput: 1869.224 | time:   0.034
 inference:    66 | throughput: 1939.633 | time:   0.033
 inference:    67 | throughput: 1863.734 | time:   0.034
 inference:    68 | throughput: 1882.740 | time:   0.034
 inference:    69 | throughput: 1842.359 | time:   0.035
 inference:    70 | throughput: 1884.935 | time:   0.034
 inference:    71 | throughput: 1871.295 | time:   0.034
 inference:    72 | throughput: 1858.804 | time:   0.034
 inference:    73 | throughput: 1881.065 | time:   0.034
 inference:    74 | throughput: 1843.486 | time:   0.035
 inference:    75 | throughput: 1875.440 | time:   0.034
 inference:    76 | throughput: 1879.287 | time:   0.034
 inference:    77 | throughput: 1858.341 | time:   0.034
 inference:    78 | throughput: 1887.838 | time:   0.034
 inference:    79 | throughput: 1840.717 | time:   0.035
 inference:    80 | throughput: 1874.379 | time:   0.034
 inference:    81 | throughput: 1861.111 | time:   0.034
 inference:    82 | throughput: 1867.351 | time:   0.034
 inference:    83 | throughput: 1878.669 | time:   0.034
 inference:    84 | throughput: 1866.222 | time:   0.034
 inference:    85 | throughput: 1879.761 | time:   0.034
 inference:    86 | throughput: 1852.646 | time:   0.035
 inference:    87 | throughput: 1895.557 | time:   0.034
 inference:    88 | throughput: 1857.004 | time:   0.034
 inference:    89 | throughput: 1892.950 | time:   0.034
 inference:    90 | throughput: 1869.888 | time:   0.034
 inference:    91 | throughput: 1885.676 | time:   0.034
 inference:    92 | throughput: 1839.115 | time:   0.035
 inference:    93 | throughput: 1872.862 | time:   0.034
 inference:    94 | throughput: 1881.948 | time:   0.034
 inference:    95 | throughput: 1871.870 | time:   0.034
 inference:    96 | throughput: 1877.854 | time:   0.034
 inference:    97 | throughput: 1858.843 | time:   0.034
 inference:    98 | throughput: 1869.471 | time:   0.034
 inference:    99 | throughput: 1876.515 | time:   0.034
 inference:   100 | throughput: 1867.065 | time:   0.034

Total inference throughput: 1883.20478, Total inference latency: 0.03398
