Data loading...
densenet121-16 Model building...
Start inference...

 inference:     1 | throughput: 186.243 | time:   0.086
 inference:     2 | throughput: 1080.345 | time:   0.015
 inference:     3 | throughput: 1129.342 | time:   0.014
 inference:     4 | throughput: 1129.608 | time:   0.014
 inference:     5 | throughput: 1154.780 | time:   0.014
 inference:     6 | throughput: 1115.543 | time:   0.014
 inference:     7 | throughput: 1140.822 | time:   0.014
 inference:     8 | throughput: 1123.123 | time:   0.014
 inference:     9 | throughput: 1166.320 | time:   0.014
 inference:    10 | throughput: 1154.502 | time:   0.014
 inference:    11 | throughput: 1152.638 | time:   0.014
 inference:    12 | throughput: 1130.331 | time:   0.014
 inference:    13 | throughput: 1146.984 | time:   0.014
 inference:    14 | throughput: 1145.183 | time:   0.014
 inference:    15 | throughput: 1143.310 | time:   0.014
 inference:    16 | throughput: 1134.957 | time:   0.014
 inference:    17 | throughput: 1154.780 | time:   0.014
 inference:    18 | throughput: 1133.883 | time:   0.014
 inference:    19 | throughput: 1079.042 | time:   0.015
 inference:    20 | throughput: 1170.122 | time:   0.014
 inference:    21 | throughput: 1152.301 | time:   0.014
 inference:    22 | throughput: 1129.076 | time:   0.014
 inference:    23 | throughput: 1136.283 | time:   0.014
 inference:    24 | throughput: 1125.969 | time:   0.014
 inference:    25 | throughput: 1151.985 | time:   0.014
 inference:    26 | throughput: 1129.342 | time:   0.014
 inference:    27 | throughput: 1157.568 | time:   0.014
 inference:    28 | throughput: 1129.646 | time:   0.014
 inference:    29 | throughput: 1124.422 | time:   0.014
 inference:    30 | throughput: 1150.878 | time:   0.014
 inference:    31 | throughput: 1157.329 | time:   0.014
 inference:    32 | throughput: 1135.245 | time:   0.014
 inference:    33 | throughput: 1156.970 | time:   0.014
 inference:    34 | throughput: 1127.312 | time:   0.014
 inference:    35 | throughput: 1157.089 | time:   0.014
 inference:    36 | throughput: 1134.842 | time:   0.014
 inference:    37 | throughput: 1105.237 | time:   0.014
 inference:    38 | throughput: 1138.519 | time:   0.014
 inference:    39 | throughput: 1122.072 | time:   0.014
 inference:    40 | throughput: 1153.668 | time:   0.014
 inference:    41 | throughput: 1169.817 | time:   0.014
 inference:    42 | throughput: 1153.509 | time:   0.014
 inference:    43 | throughput: 1142.201 | time:   0.014
 inference:    44 | throughput: 1129.646 | time:   0.014
 inference:    45 | throughput: 1114.043 | time:   0.014
 inference:    46 | throughput: 1127.122 | time:   0.014
 inference:    47 | throughput: 1128.601 | time:   0.014
 inference:    48 | throughput: 1109.457 | time:   0.014
 inference:    49 | throughput: 1151.392 | time:   0.014
 inference:    50 | throughput: 1077.189 | time:   0.015
 inference:    51 | throughput: 1175.328 | time:   0.014
 inference:    52 | throughput: 1127.028 | time:   0.014
 inference:    53 | throughput: 1136.360 | time:   0.014
 inference:    54 | throughput: 1125.629 | time:   0.014
 inference:    55 | throughput: 1148.495 | time:   0.014
 inference:    56 | throughput: 1136.033 | time:   0.014
 inference:    57 | throughput: 1147.376 | time:   0.014
 inference:    58 | throughput: 1125.742 | time:   0.014
 inference:    59 | throughput: 1148.751 | time:   0.014
 inference:    60 | throughput: 1100.127 | time:   0.015
 inference:    61 | throughput: 1146.161 | time:   0.014
 inference:    62 | throughput: 1145.398 | time:   0.014
 inference:    63 | throughput: 1140.609 | time:   0.014
 inference:    64 | throughput: 1127.937 | time:   0.014
 inference:    65 | throughput: 1150.346 | time:   0.014
 inference:    66 | throughput: 1135.264 | time:   0.014
 inference:    67 | throughput: 1145.848 | time:   0.014
 inference:    68 | throughput: 1139.776 | time:   0.014
 inference:    69 | throughput: 1138.307 | time:   0.014
 inference:    70 | throughput: 1122.804 | time:   0.014
 inference:    71 | throughput: 1155.874 | time:   0.014
 inference:    72 | throughput: 1149.065 | time:   0.014
 inference:    73 | throughput: 1120.404 | time:   0.014
 inference:    74 | throughput: 1155.217 | time:   0.014
 inference:    75 | throughput: 1135.149 | time:   0.014
 inference:    76 | throughput: 1135.437 | time:   0.014
 inference:    77 | throughput: 1130.312 | time:   0.014
 inference:    78 | throughput: 1148.299 | time:   0.014
 inference:    79 | throughput: 1136.437 | time:   0.014
 inference:    80 | throughput:  82.498 | time:   0.194
 inference:    81 | throughput: 1020.791 | time:   0.016
 inference:    82 | throughput: 1178.155 | time:   0.014
 inference:    83 | throughput: 1131.302 | time:   0.014
 inference:    84 | throughput: 1150.799 | time:   0.014
 inference:    85 | throughput: 1158.368 | time:   0.014
 inference:    86 | throughput: 1096.174 | time:   0.015
 inference:    87 | throughput: 1110.247 | time:   0.014
 inference:    88 | throughput: 1150.977 | time:   0.014
 inference:    89 | throughput: 1130.731 | time:   0.014
 inference:    90 | throughput: 1150.247 | time:   0.014
 inference:    91 | throughput: 1146.102 | time:   0.014
 inference:    92 | throughput: 1116.341 | time:   0.014
 inference:    93 | throughput: 1143.076 | time:   0.014
 inference:    94 | throughput: 1145.339 | time:   0.014
 inference:    95 | throughput: 1147.631 | time:   0.014
 inference:    96 | throughput: 1138.847 | time:   0.014
 inference:    97 | throughput: 1117.810 | time:   0.014
 inference:    98 | throughput: 1128.962 | time:   0.014
 inference:    99 | throughput: 1164.741 | time:   0.014
 inference:   100 | throughput: 1123.669 | time:   0.014

Total inference throughput: 963.57706, Total inference latency: 0.01660
