Data loading...
densenet121-16 Model building...
Start inference...

 inference:     1 | throughput: 194.760 | time:   0.082
 inference:     2 | throughput: 1068.238 | time:   0.015
 inference:     3 | throughput: 1105.510 | time:   0.014
 inference:     4 | throughput: 1124.667 | time:   0.014
 inference:     5 | throughput: 1148.200 | time:   0.014
 inference:     6 | throughput: 1105.892 | time:   0.014
 inference:     7 | throughput: 1101.843 | time:   0.015
 inference:     8 | throughput: 1127.368 | time:   0.014
 inference:     9 | throughput: 1150.523 | time:   0.014
 inference:    10 | throughput: 1161.113 | time:   0.014
 inference:    11 | throughput: 1149.282 | time:   0.014
 inference:    12 | throughput: 1143.329 | time:   0.014
 inference:    13 | throughput: 1150.286 | time:   0.014
 inference:    14 | throughput: 1153.252 | time:   0.014
 inference:    15 | throughput: 1185.439 | time:   0.013
 inference:    16 | throughput: 1138.963 | time:   0.014
 inference:    17 | throughput: 1164.842 | time:   0.014
 inference:    18 | throughput: 1133.136 | time:   0.014
 inference:    19 | throughput: 1167.822 | time:   0.014
 inference:    20 | throughput: 1161.294 | time:   0.014
 inference:    21 | throughput: 1165.995 | time:   0.014
 inference:    22 | throughput: 1145.202 | time:   0.014
 inference:    23 | throughput: 1152.539 | time:   0.014
 inference:    24 | throughput: 1144.109 | time:   0.014
 inference:    25 | throughput: 1184.957 | time:   0.014
 inference:    26 | throughput: 1150.503 | time:   0.014
 inference:    27 | throughput: 1146.063 | time:   0.014
 inference:    28 | throughput: 1103.292 | time:   0.015
 inference:    29 | throughput: 1161.837 | time:   0.014
 inference:    30 | throughput: 1164.660 | time:   0.014
 inference:    31 | throughput: 1166.522 | time:   0.014
 inference:    32 | throughput: 1140.880 | time:   0.014
 inference:    33 | throughput: 1112.953 | time:   0.014
 inference:    34 | throughput: 1146.846 | time:   0.014
 inference:    35 | throughput: 1175.390 | time:   0.014
 inference:    36 | throughput: 1161.616 | time:   0.014
 inference:    37 | throughput: 1139.137 | time:   0.014
 inference:    38 | throughput: 1125.723 | time:   0.014
 inference:    39 | throughput: 1100.957 | time:   0.015
 inference:    40 | throughput: 1119.227 | time:   0.014
 inference:    41 | throughput: 1145.457 | time:   0.014
 inference:    42 | throughput: 1167.192 | time:   0.014
 inference:    43 | throughput: 1143.583 | time:   0.014
 inference:    44 | throughput: 1090.758 | time:   0.015
 inference:    45 | throughput: 1155.058 | time:   0.014
 inference:    46 | throughput: 1161.576 | time:   0.014
 inference:    47 | throughput: 1158.148 | time:   0.014
 inference:    48 | throughput: 1148.377 | time:   0.014
 inference:    49 | throughput: 1075.359 | time:   0.015
 inference:    50 | throughput: 1121.097 | time:   0.014
 inference:    51 | throughput: 1145.809 | time:   0.014
 inference:    52 | throughput: 1158.228 | time:   0.014
 inference:    53 | throughput: 1156.611 | time:   0.014
 inference:    54 | throughput: 1141.890 | time:   0.014
 inference:    55 | throughput: 1138.905 | time:   0.014
 inference:    56 | throughput: 1163.267 | time:   0.014
 inference:    57 | throughput: 1168.493 | time:   0.014
 inference:    58 | throughput: 1157.588 | time:   0.014
 inference:    59 | throughput: 1149.991 | time:   0.014
 inference:    60 | throughput: 1126.611 | time:   0.014
 inference:    61 | throughput: 1151.649 | time:   0.014
 inference:    62 | throughput: 1155.595 | time:   0.014
 inference:    63 | throughput: 1157.708 | time:   0.014
 inference:    64 | throughput: 1146.024 | time:   0.014
 inference:    65 | throughput: 1108.743 | time:   0.014
 inference:    66 | throughput: 1148.633 | time:   0.014
 inference:    67 | throughput: 1175.575 | time:   0.014
 inference:    68 | throughput: 1166.320 | time:   0.014
 inference:    69 | throughput: 1156.192 | time:   0.014
 inference:    70 | throughput: 1097.142 | time:   0.015
 inference:    71 | throughput: 1158.728 | time:   0.014
 inference:    72 | throughput: 1149.518 | time:   0.014
 inference:    73 | throughput: 1160.832 | time:   0.014
 inference:    74 | throughput: 1159.889 | time:   0.014
 inference:    75 | throughput: 1145.887 | time:   0.014
 inference:    76 | throughput: 1157.429 | time:   0.014
 inference:    77 | throughput: 1149.302 | time:   0.014
 inference:    78 | throughput: 1173.396 | time:   0.014
 inference:    79 | throughput: 1150.365 | time:   0.014
 inference:    80 | throughput:  73.867 | time:   0.217
 inference:    81 | throughput: 1011.712 | time:   0.016
 inference:    82 | throughput: 1107.626 | time:   0.014
 inference:    83 | throughput: 1141.424 | time:   0.014
 inference:    84 | throughput: 1133.711 | time:   0.014
 inference:    85 | throughput: 1175.287 | time:   0.014
 inference:    86 | throughput: 1135.898 | time:   0.014
 inference:    87 | throughput: 1141.948 | time:   0.014
 inference:    88 | throughput: 1137.169 | time:   0.014
 inference:    89 | throughput: 1117.866 | time:   0.014
 inference:    90 | throughput: 1133.404 | time:   0.014
 inference:    91 | throughput: 1150.859 | time:   0.014
 inference:    92 | throughput: 1158.088 | time:   0.014
 inference:    93 | throughput: 1143.524 | time:   0.014
 inference:    94 | throughput: 1104.654 | time:   0.014
 inference:    95 | throughput: 1158.308 | time:   0.014
 inference:    96 | throughput: 1162.582 | time:   0.014
 inference:    97 | throughput: 1167.882 | time:   0.014
 inference:    98 | throughput: 1142.240 | time:   0.014
 inference:    99 | throughput: 1151.273 | time:   0.014
 inference:   100 | throughput: 1142.220 | time:   0.014

Total inference throughput: 957.28702, Total inference latency: 0.01671
